ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,access_raw,access_z,iso_index_with_access
13101,千代田区,5.30652,5.1339,3.4077,tokyo,-1.9790898134303176,-1.05095091298365,-0.5102640733806786,-1.260000421281426,10,-0.6244300186410524,-1.0726714156891102
13102,中央区,7.3328,4.8124,7.8831,tokyo,0.9281667769043712,-1.4357999461167947,0.7342477093845778,0.1608010397420833,12,-0.1892212177700159,0.21756740507308805
13103,港区,7.01052,5.3923,6.2777,tokyo,0.465767378038931,-0.7416352359646619,0.2878207495482856,0.0501626052906595,20,1.55161398571413,-0.41532159042357947
13104,新宿区,7.29263,6.2212,4.1031,tokyo,0.8705318512111085,0.2505929555254286,-0.316888398863326,0.3283241074830743,18,1.1164051848430934,-0.006597447969853731
13105,文京区,5.64607,5.0428,1.1411,tokyo,-1.491911844320351,-1.1600014477221556,-1.1405564286596996,-1.286932100642697,9,-0.8420344190765706,-1.034321774919726
13106,台東区,7.4656,7.6597,1.1103,tokyo,1.1187049430000973,1.972538007351337,-1.1491212413935716,0.6945070069873684,8,-1.059638819512089,1.0123986528409952
13107,墨田区,6.80022,6.4884,7.3333,tokyo,0.164034122542463,0.570442602969213,0.581360240518256,0.4111545020632259,7,-1.2772432199476071,0.7943274680475081
13108,江東区,7.28346,6.0916,14.3249,tokyo,0.857374961278143,0.0954563001784438,2.5255727311071565,1.1292586938969371,11,-0.4068256182055341,1.2513063793585975
13109,品川区,6.76887,5.5466,3.887,tokyo,0.1190539154106775,-0.5569316409026266,-0.3769811271681864,-0.2325522642569729,13,0.0283831826655023,-0.2410672190566236
13110,目黒区,5.58721,5.3538,1.4882,tokyo,-1.5763627212510318,-0.7877213565731411,-1.0440354384023325,-1.1800721269930547,14,0.2459875831010205,-1.2538684019233608
13111,大田区,6.48044,5.7699,3.2276,tokyo,-0.2947783379552118,-0.2896321413734466,-0.5603459816069876,-0.372904772076215,16,0.681196383972057,-0.5772636872678321
13112,世田谷区,5.43306,5.7875,3.1373,tokyo,-1.7975333410074776,-0.2685642005238562,-0.5854564553040207,-0.975219533151354,25,2.639635987891721,-1.7671103295188701
13113,渋谷区,6.64832,5.1144,2.1056,tokyo,-0.0539082526829945,-1.0742932338113214,-0.872349874055175,-0.6055562334331467,19,1.3340095852786116,-1.0057591090167302
13114,中野区,7.30313,5.9707,2.3986,tokyo,0.885596992355726,-0.0492660889531181,-0.7908729217491866,0.102197093731599,15,0.4635919835365387,-0.03688050132936259
13115,杉並区,5.69355,5.575,1.5394,tokyo,-1.4237887108397405,-0.5229356454407867,-1.0297978276239483,-1.0353355262553166,17,0.8988007844075753,-1.3049757615775892
13116,豊島区,6.94668,6.9758,1.4908,tokyo,0.3741713198796607,1.1538809194516226,-1.043312434729993,0.1828390733683532,12,-0.1892212177700159,0.23960543869935796
13117,北区,7.45026,7.9088,12.4051,tokyo,1.0966954891754854,2.270721192898667,1.991717942584848,1.7174099363152486,11,-0.4068256182055341,1.839457621776909
13118,荒川区,7.0225,7.1012,5.4953,tokyo,0.4829559866972657,1.303989998004956,0.0702522598411004,0.6054550720327233,8,-1.059638819512089,0.9233467178863499
13119,板橋区,7.52657,6.621,7.4789,tokyo,1.2061831959131728,0.7291703845973782,0.6218484461692863,0.8877789275952686,10,-0.6244300186410524,1.0751079331875844
13120,練馬区,6.00117,5.2648,5.1618,tokyo,-0.9824231185628798,-0.89425810291482,-0.0224868650532582,-0.6679927378155754,14,0.2459875831010205,-0.7417890127458816
13121,足立区,6.99676,6.6174,10.6453,tokyo,0.446024869262748,0.7248610330599613,1.502355687744991,0.8465749639465849,9,-0.8420344190765706,1.0991852896695562
13122,葛飾区,6.83942,6.5199,7.4207,tokyo,0.2202773161490315,0.6081494289216045,0.6056642870422947,0.4522550412487823,8,-1.059638819512089,0.770146687102409
13123,江戸川区,6.93977,5.3036,7.1185,tokyo,0.3642570222311563,-0.8478128696782224,0.5216290140495654,0.0478476522038654,10,-0.6244300186410524,0.23517665779618113
